,ID,Tipo de habitación,Ciudad,Localización,Precio por noche Octubre,Precio por noche Agosto,Valoración,Numero valoraciones,Dormitorios,Baños,Camas,Viajeros máximos
1313,1012326635149414604,"Habitación en Madrid, España",Madrid,"40.399791,-3.697796",No disponible en Octubre,42 €,"4,64",36 evaluaciones,1 dormitorio,baño compartido,1 cama,No especificado
1314,1013016432651575104,"Alojamiento entero: piso en Madrid, España",Madrid,"40.3825,-3.7038",165 €,165 €,"4,56",9 evaluaciones,3 dormitorios,1 baño,4 camas,6 viajeros
1315,978303937612571869,"Habitación en Madrid, España",Madrid,"40.3863,-3.6563",30 €,30 €,Sin valoraciones,Mostrar másMostrar más. Abre el perfil del anfitrión.,1 dormitorio,baño compartido,1 cama,No especificado
1316,1041443695088646917,"Habitación en Coslada, España",Madrid,"40.4243,-3.5623",40 €,40 €,"5,0",6 evaluaciones,0 dormitorios,n baño,No especificado,No especificado
1317,43958815,"Habitación en Alcorcón, España",Madrid,"40.35205,-3.80262",42 €,No disponible en Agosto,Sin valoraciones,Mostrar másMostrar más. Abre el perfil del anfitrión.,1 dormitorio,baño compartido,No especificado,No especificado
1318,1093608793291410071,"Habitación en Madrid, España",Madrid,"40.3736,-3.7265",39 €,50 €,Sin valoraciones,Mostrar másMostrar más. Abre el perfil del anfitrión.,1 dormitorio,· baño privado en la habitación,1 cama,No especificado
1319,1134764621307001847,"Habitación en Madrid, España",Madrid,"40.47138,-3.69166",No disponible en Octubre,No disponible en Agosto,Nuevo,1 evaluación,1 dormitorio,· baño privado en el alojamiento,2 camas,No especificado
1320,1136680930831193665,"Alojamiento entero: piso en Madrid, España",Madrid,"40.39767,-3.68046",73 €,78 €,Nuevo,1 evaluación,1 dormitorio,1 baño,No especificado,2 viajeros
1321,43840546,"Alojamiento entero: piso en Madrid, España",Madrid,"40.42954,-3.68431",340 €,355 €,"4,65",48 evaluaciones,1 dormitorio,1 baño,1 cama,2 viajeros
1322,1105649639455909502,"Alojamiento entero: piso en Madrid, España",Madrid,"40.3866,-3.7109",No disponible en Octubre,No disponible en Agosto,"4,69",13 evaluaciones,1 dormitorio,1 baño,No especificado,4 viajeros
1323,994223770695185684,"Habitación en Madrid, España",Madrid,"40.4627,-3.647",45 €,34 €,"4,57",44 evaluaciones,3 dormitorios,baño compartido,No especificado,No especificado
1324,53125354,"Alojamiento entero: apartamento con servicios en Madrid, España",Madrid,"40.43014,-3.6989",No disponible en Octubre,No disponible en Agosto,Sin valoraciones,Mostrar másMostrar más. Abre el perfil del anfitrión.,1 dormitorio,1 baño,1 cama,2 viajeros
