ID,Tipo de habitación,Título,Tipología,Ciudad,Localización,Municipio,Precio por noche Agosto,Precio por noche Octubre,Precio Medio,Valoración,Numero valoraciones,Dormitorios,Baños,Camas,Viajeros máximos
01157897979109795241,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.2981,-5.7518",Asturias,132,132,132,,,1,1,,4
01109370006477921311,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.1553,-5.9238",Asturias,,82,82,,2,2,1,,3
00000000000014149164,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.53389,-5.64615",Asturias,81,72,76,4.26,74,2,1,2,3
00000000000027087195,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.54221,-5.67066",Asturias,216,216,216,4.75,4,2,1,4,4
00000000000023063570,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.3731,-5.83088",Asturias,123,60,92,4.96,47,1,1,1,2
01038299105791418917,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.36229,-5.85554",Asturias,,55,55,4.27,11,1,1,,2
00000000000009618425,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.607,-5.78636",Asturias,,92,92,,,2,1,3,4
00673846986140591638,Habitación,Habitación,Habitación,Asturias,"43.41465,-5.66646",Asturias,,35,35,,,1,1,2,
00667060497074010955,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.53637,-5.65093",Asturias,,73,73,,,3,1,5,6
00844782878548894286,Alojamiento,Alojamiento,Alojamiento,Asturias,,Asturias,92,,92,,,2,1,1,2
00547605864326734009,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.53788,-5.64794",Asturias,172,70,121,4.68,22,2,1,3,4
00644196089123507249,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.5403,-5.6931",Asturias,,90,90,5.0,8,3,1,4,6
01118193244486490578,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.5416,-5.7085",Asturias,131,49,90,,2,1,1,2,4
01038981492245863990,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.5401,-5.6454",Asturias,,350,350,,2,2,1,6,6
00597862047184239895,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.546232,-5.51894",Asturias,,118,118,,,1,1,2,4
01106537895542673146,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.5685,-5.7274",Asturias,,75,75,,1,2,1,3,6
00947892757945400713,Habitación,Habitación,Habitación,Asturias,,Asturias,,,,,,1,1,,
00872238271540727064,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.4058,-5.8061",Asturias,105,92,98,4.73,11,3,1,,5
00000000000050511167,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.31513,-5.95641",Asturias,,135,135,4.67,6,4,1,7,0
01035924115188137696,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.5403,-5.6515",Asturias,,,,,,4,1,6,7
00893237705386605904,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.5419,-5.6613",Asturias,,,,,,3,1,5,6
00000000000050503871,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.36479,-5.8455",Asturias,,,,4.77,30,1,1,2,4
00812067627798812228,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.0432,-6.2494",Asturias,,,,,,2,1,4,6
00566390236492080257,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.48237,-5.43436",Asturias,,70,70,,,1,1,1,2
01159873818217957926,Habitación,Habitación,Habitación,Asturias,"43.3707,-5.8527",Asturias,60,44,52,,,1,1,2,2
00000000000041142357,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.53418,-5.63303",Asturias,,,,,,1,1,1,2
00916729769977824153,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.53984,-5.68585",Asturias,,60,60,4.5,8,2,1,3,6
00653299795396732448,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.5403,-5.6911",Asturias,,,,4.79,14,3,1,5,6
00000000000043877695,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.51693,-5.64271",Asturias,,170,170,4.72,18,3,1,5,7
00901289141896520997,Habitación,Habitación,Habitación,Asturias,"43.5351,-5.6574",Asturias,,,,,,1,1,1,
00000000000005229074,Habitación,Habitación,Habitación,Asturias,"43.4011,-5.811",Asturias,44,42,43,,,1,1,2,
01112105516319787212,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.367113,-5.863313",Asturias,150,190,170,,,2,1,2,4
01100217394904384278,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.366508,-5.846354",Asturias,,87,87,,,2,1,3,4
00000000000041522583,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.35452,-5.85095",Asturias,,,,4.36,22,1,1,1,2
00633798979768061997,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.5206,-5.6743",Asturias,193,95,144,,,2,1,,6
00989922099256532617,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.5415,-5.6567",Asturias,,,,,,1,1,2,3
01079911659353106744,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.54151,-5.66182",Asturias,153,,153,,,1,1,,2
00957849831789782069,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.3615,-5.85852",Asturias,,75,75,,,1,1,,3
00000000000051171531,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.36757,-5.84926",Asturias,,,,,,3,1,4,5
00640529238493629174,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.35722,-5.86244",Asturias,,90,90,,,2,1,,4
01143969346405248454,Habitación,Habitación,Habitación,Asturias,"43.3666,-5.864067",Asturias,,32,32,,1,1,1,1,
00676842111591794452,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.48213,-5.43603",Asturias,90,60,75,,,3,1,5,6
