,ID,Tipo de habitación,Título,Tipología,Ciudad,Localización,Municipio,Precio por noche Agosto,Precio por noche Octubre,Precio Medio,Valoración,Numero valoraciones,Dormitorios,Baños,Camas,Viajeros máximos,Distancia a PI
117,28710478,"Alojamiento entero: piso en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.42078,-3.6996",Madrid,106.0,199.0,152.0,4.59,220.0,1.0,1,2.0,3.0,0.543
118,20265539,"Alojamiento entero: piso en Pozuelo de Alarcón, España",Alojamiento entero,Alojamiento,Madrid,"40.43655,-3.81801",Pozuelo de Alarcn,94.0,,94.0,4.72,152.0,2.0,2,3.0,4.0,9.932
119,42831968,"Alojamiento entero: piso en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.425,-3.6922",Madrid,,,,4.54,28.0,1.0,1,2.0,4.0,1.314
120,591093362257874483,"Habitación privada en: hostal en Madrid, España",Habitación privada en,Habitación,Madrid,"40.4304,-3.698",Madrid,,,,4.52,108.0,1.0,1,1.0,1.0,1.57
121,4162483,"Habitación en Madrid, España",Habitación,Habitación,Madrid,"40.44805,-3.60888",Madrid,,36.0,36.0,4.7,196.0,1.0,1,1.0,,8.727
122,52180104,"Alojamiento entero: piso en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.43269,-3.69978",Madrid,140.0,,140.0,4.62,81.0,2.0,2,2.0,6.0,1.781
123,582498237782066918,"Alojamiento entero: loft en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.489626,-3.664506",Madrid,59.0,59.0,59.0,4.85,61.0,1.0,1,2.0,2.0,8.732
124,993600367513473110,"Habitación en Madrid, España",Habitación,Habitación,Madrid,"40.4332,-3.6191",Madrid,,,,4.6,15.0,1.0,1,,,7.373
125,555722653048129999,"Alojamiento entero: piso en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.37967,-3.69431",Madrid,,,,,2.0,1.0,1,2.0,4.0,4.216
126,771172357661574741,"Alojamiento entero: piso en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.4017,-3.6755",Madrid,85.0,85.0,85.0,4.86,14.0,1.0,1,1.0,4.0,2.916
